סמל מוסד,שם מוסד,יישוב
541789,אהל חנה,קרית אונו
541805,מרום,רמת השרון
541839,שער שמעון,תל אביב - יפו
541847,ישיבת חזון נחום,בני ברק
541854,ישיבת חזון נחום,בני ברק
541862,אמונה אולפנית טכנולוגית,בני ברק
541896,ישיבת פוניבז',בני ברק
541912,מוסדות תורה ושלום,בני ברק
541920,"תיכון ב""י בית דוד",חולון
541979,תיכון יעדים,אור יהודה
541987,ישיבת חכמי לובלין,בני ברק
542027,תיכון בית יעקב,אור יהודה
542035,"מוזות-בי""ס תיכון לאומניות",תל אביב - יפו
542050,חכמת שלמה דבאבוב,בני ברק
542076,תיכון ז'קלין כהנוב,בת ים
542084,ישיבת דברי מרדכי,בני ברק
542092,ריימונד לאוואן,חולון
544056,"ממ""ד לטכנולוגיה ולאומנויות",תל אביב - יפו
544189,ישיבת נתיבות חיים,בני ברק
544197,ישיבת משך חוכמה,בני ברק
544205,ישיבת זכרון סיני,בני ברק
544239,ישיבת אלכסנדר,בני ברק
544247,ישיבת בית יוסף,בני ברק
544270,ישיבת בית שפירא,בני ברק
544312,אולפנת צביה הרצליה,הרצליה
544346,ישיבת דרכי משה-אברהם,בני ברק
544353,מקיף אפרים קציר,חולון
544361,ישיבת אבשלום,בני ברק
544379,ישיבת תפארת ציון,בני ברק
544387,ישיבת פאר משה,פתח תקווה
544395,עתיד רזיאל,הרצליה
544478,נתיבות רבקה,בת ים
544494,ישיבה תיכונית בנים,רמת גן
544528,"מקיף ע""ש יצחק נבון",חולון
544593,"עתידים ע""ש מ. אלישיב",חולון
544668,אולפנת צביה בת ים,בת ים
544692,"ק.חינוך בנ""ע חולון",חולון
547042,תיכון טרה סנטה יפו,תל אביב - יפו
548016,עירוני יב',תל אביב - יפו
548032,מרכז חינוך יפו,תל אביב - יפו
548040,תיכון סנט מיכאל,תל אביב - יפו
548404,אג'יאל,תל אביב - יפו
550004,רגבים בנגב,בני נצרים
560045,בית יעקב החדש,בני ברק
560094,תיכון תל אביב,תל אביב - יפו
560110,קהילה,תל אביב - יפו
560136,זומר,רמת גן
560219,סמינר גור בית שמש,בית שמש
560268,סמינר ב.יעקב תל ציון,תל ציון
560300,בית יעקב דרכי רחל,ביתר עילית
560326,ישיבת כנסת שלמה,ירושלים
560342,סמינר תורני בית יעקב,בני ברק
560359,סמינר ב.יעקב אור שרה,בית שמש
560433,שערי תלמוד,ביתר עילית
560441,חדוות התורה-ישיבת אמ,ירושלים
560482,תיכון אלמעאלי,כפר כנא
560508,אולפנת אוריה,אלון שבות
560516,אולפנת צביה תאיר בית אל,בית שמש
560524,ישיבת דרך אמונה,תירוש
560532,לדעת חכמה,אלעד
560557,ישיבת כנסת מרדכי,מודיעין עילית
560573,בית עזריה,בני ברק
560581,סמינר חסידי ירושלים,ירושלים
560607,ישיבת חמד,בני ברק
560664,מוסדות שפע חיים צאנז,בני ברק
560680,אורות התלמוד,ביתר עילית
560706,ישיבת תורת שלמה י-ם,ירושלים
560722,על יסודי רב נתיבי,ירושלים
566943,דרכים,חולון
570036,"עמל ליידי דייויס ת""א",תל אביב - יפו
570044,רב תחומי עמל הולץ חיל האויר,תל אביב - יפו
570051,"הייטק אומנות ע""ש שמעון פרס",תל אביב - יפו
570069,"מח""ט יא",תל אביב - יפו
570077,אורט סינגאלובסקי תל אביב,תל אביב - יפו
570085,בית חינוך קהילתי גאולה,תל אביב - יפו
570135,"אורט ע""ש אבין",רמת גן
570168,מקיף אורט למדע וטכנולוגיה,חולון
570176,אורט נווה שרה הרצוג בני ברק,בני ברק
570192,התיכון העירוני החדש,הרצליה
570200,אורט קרייזמן גבעתיים,גבעתיים
570259,יובלים,אור יהודה
570358,הנדסאים הרצליה,הרצליה
570580,ישיבת אור משה,תל אביב - יפו
570606,בית יעקב,תל אביב - יפו
570705,"עירוני כ""ג בית חינוך יפו",תל אביב - יפו
570713,אורט מלטון,בת ים
570945,תיכון טכנולוגי נעמת,חולון
571109,"אמי""ת גוש דן",רמת גן
571125,"מרכז נער ע""ש טננבאום",הרצליה
571141,מיתרים,חולון
571158,בית ספר המר דרכא,בת ים
571174,אורט רמת יוסף בת ים,בת ים
571224,בית הספר תיכון חדש דרכא,בת ים
571281,מכללת אורט סיגלובסקי,תל אביב - יפו
573105,"יאפא אלמוסתקבל ל""ג",תל אביב - יפו
575001,מכללה טכנולוגית שפרעם,שפרעם
579490,"כפר הנוער אמי""ת",פתח תקווה
580001,שש שנתי רמון,פתח תקווה
580019,חקלאי הכפר הירוק,רמת השרון
580027,מקוה ישראל דתי,מקווה ישראל
580035,מקוה ישראל כללי,מקווה ישראל
581215,שחקים,חולון
581223,בר אילן,פתח תקווה
581231,אולפנא הר חברון,שמעה
581314,"עירוני ל""ד יצחק שמיר",תל אביב - יפו
581322,"עירוני ל""ז צמרות",תל אביב - יפו
581389,שחפים,נתניה
581405,"ע""ש רמון",אור יהודה
581439,"עירוני כ""ד- עמוס עוז",תל אביב - יפו
581538,מרחב,תל אביב - יפו
581678,חדש תקשורתי,תל אביב - יפו
582007,פלך,תל אביב - יפו
585851,"מח""ט אורט מרום עכו",עכו
590349,"ישיבת חידושי הרי""מ",תל אביב - יפו
590414,אולפנת אורות,נתניה
610006,אורט אלמותנבי כסייפה,כסיפה
610170,ישיבה תיכונית אילת,אילת
611475,תיכון כפר אדומים,כפר אדומים
611483,"מח""ט עמל מקס פיין",תל אביב - יפו
614321,בית ספר על יסודי דרכא אחווה,דימונה
615344,שירת ברכה,שדרות
615351,שפתי רננות,נתיבות
615369,ישיבה לצעירים שומריה,שומריה
615948,ישיבת מקור חיים,ירושלים
620005,"מקיף יא' ע""ש יצחק נבון",אשדוד
620229,תפנית,בית שמש
620336,גשר,באר שבע
620419,אורים,באר שבע
620476,לב הבוסתן,ירושלים
620484,אלומות,ירושלים
623850,כרם גפנים,כרמיאל
627034,"בי""ס לח. מיוחד אלאמל",רהט
630095,מרכז נוער,אשקלון
630160,מרכז נוער דתי,באר שבע
630640,תיכון אנתרופוסופי,הוד השרון
630764,"מרכז נוער ע""ש משה קו",אשדוד
631309,אדם ואדמה גולן,אורטל
631424,דרכי שמואל,בית שמש
631440,מורשת שמחה,ביתר עילית
631523,ישיבת פוניבז',בני ברק
631556,משאת מלך,אלעד
631739,ישיבה קטנה גור החדשה,קרית גת
632034,מעלות רבקה,מעלות-תרשיחא
632216,משנתו שלמה,ביתר עילית
632281,אבן שלמה,רכסים
633198,שבילי בינה,בית שמש
633255,אורחות חיים החדשה,בני ברק
633263,ישיבת פני מנחם,ירושלים
633305,"עבדאללה בנות מח""ט",ירושלים
633370,ישיבה גדולה וכולל פנ,ירושלים
633388,ישיבת היכל שמואל,בני ברק
633602,ים התורה,ירושלים
633685,"עמל מח""ט זרזיר",זרזיר
633776,בנין אב בית אהרון,אופקים
634113,מפתן בית חגי,חגי
634253,מרכז תורני רעננה,רעננה
634261,אדם ואדמה ניצנים,כפר סילבר
634881,תלמוד תורה ויזניץ קר,בני ברק
635391,"מח""ט כפר-קרע",כפר קרע
636019,אדם ואדמה תבור,כדורי
637470,המדרשיה ישמח משה,באר שבע
640003,ישיבה תיכונית חדשה,אשדוד
640029,"ק. ח. ע""ש זאב בוים",קרית גת
640037,עירוני א' מקיף,באר שבע
640045,"אולפנת אמי""ת",באר שבע
640052,מקיף עירוני גולדווטר,אילת
640060,אורט הנרי רונסון אשקלון,אשקלון
640078,מקיף דתי עירוני ב',אשקלון
640086,בית ספר על יסודי דרכא ליהמן,דימונה
640102,"שבילי אית""ם",אופקים
640110,שלהבת הדרום,דימונה
640128,מקיף א כללי,אשדוד
640136,"מקיף דתי ע""ש רוגוזין",אשדוד
640151,"יב""ע בית יהודה",כפר מימון
640169,דרכי משה,אשדוד
640177,ישיבת בני עקיבא,באר שבע
640185,ישיבת אור עציון,מרכז שפירא
640193,עירוני ג' מקיף,באר שבע
640227,אורט צימטבאום ערד,ערד
640235,אורט מקיף דתי גרוס,קרית גת
640243,"תיכון חמ""ד דרכא אפלמן",דימונה
640250,תיכון אל סייד,אל סייד
640276,עמל עהד חורה למצוינות,חורה
640318,"מקיף ע""ש גוטוירט",שדרות
640359,"אולפנת בנ""ע חן במדבר",באר שבע
640367,תיכון בית חיה ורבקה,באר שבע
